id                                   | title                                                        | authors                                                      | doi                         | pub_date       | abstract_text                                               
453a6265-6c3a-1014-8a46-f3476619febe | White matter hyperintensities and microplastics              | Elaine L. Bearer *, Marcus A. Garcia, Natalie Adolphi, Ma... | 10.1101/2024.11.26.625277   | November_2024  | White matter hyperintensities are abnormalities that appe...
2cce11d9-808e-1014-ab5f-85b680904a09 | Oral exposure to PET microplastics alters the pancreatic ... | Karol Mierzejewski *, Aleksandra Kurzyńska, Monika Golubs... | 10.1101/2024.11.05.622142   | November_2024  | Type 1 diabetes is a chronic autoimmune disease, the inci...
57347ae8-7266-1014-96a3-aa99fb25a39b | MICROPLASTICS IN THE MOUNT TERMINILLO SNOW’S (RIETI, ITALY)  | Loris Pietrelli *, Patrizia Menegoni, Ines Millesimi, Mar... | 10.1101/2024.11.15.623744   | November_2024  | Microplastics (MPs) concentrations in atmospheric fallout...
a63179a0-7996-1014-aeac-c33ab2002b32 | PET microplastics increase the risk of insulin resistance... | Karol Mierzejewski *, Aleksandra Kurzyńska, Monika Golubs... | 10.1101/2024.10.25.620380   | November_2024  | Microplastics and their effects on the body have recently...
b1cf4a73-6fb4-1014-981d-ba0583e34411 | Microplastics dysregulate innate immunity in the SARS-CoV... | Cameron R. Bishop, Kexin Yan, Wilson Nguyen, Daniel J. Ra... | 10.1101/2023.11.19.567745   | November_2023  | Global microplastic (MP) pollution is now well recognized...
a721d9b6-7052-1014-9e51-bb9b490605b2 | Co-exposure to Polyethylene Fiber and  Salmonella enteric... | Chamia C. Chatman, Elena G. Olson, Allison J. Freedman, D... | 10.1101/2023.11.22.568320   | November_2023  | Humans and animals encounter a summation of exposures dur...
740fa72a-6d85-1014-8f1d-ecf140b26797 | What is particular about microplastics? A meta-analysis o... | M. Ogonowski *, M. Wagner, B. Rogell, M. Haave, A. Lusher    | 10.1101/2022.11.01.514507   | November_2022  | Microplastics (MP) are perceived as a threat to aquatic e...
ea5a6591-6e48-1014-a13f-a595667cb5a6 | Microplastics are present in follicular fluid and comprom... | Nicole Grechi, Roksan Franko, Roshini Rajaraman, Jan B. S... | 10.1101/2022.11.04.514813   | November_2022  | Decades of careless use and improper disposal have result...
8b5553ed-6dc0-1014-b37c-8bf702a2e7ce | What is particular about microplastics? A meta-analysis o... | M. Ogonowski *, M. Wagner, B. Rogell, M. Haave, A. Lusher    | 10.1101/2022.11.01.514507   | November_2022  | Microplastics (MP) are perceived as a threat to aquatic e...
e450add2-6cf9-1014-9e82-c4b8427135a0 | The need for ecologically realistic studies on the health... | C Lauren Mills, Joy Savanagouder, Marcia de Almeida Monte... | 10.1101/2022.11.21.517421   | November_2022  | Plastic pollution is now so widespread that microplastics...
a94589aa-6c17-1014-8056-b152373cf7fc | Oral Feeding of Nanoplastics reduces Brain function of Mi... | Qianyu Yang, Huaxing Dai, Ying Cheng, Beilei Wang, Jialu ... | 10.1101/2022.11.04.515261   | November_2022  | Nanoplastics (NPs) as contaminants in food and water have...
9823107c-6de8-1014-928f-8c3ea531686c | Characterizing microplastic ingestion, transformation, an... | Marshall W. Ritchie *, Alexandra Cheslock, Madelaine P.T.... | 10.1101/2022.11.11.516210   | November_2022  | Plastic pollution is a growing threat to our natural envi...
